film_id;remote_film_id;name;budget;popularity;release_date;revenue;vote_average;vote_count;Action;Adventure;Animation;Comedy;Crime;Documentary;Drama;Family;Fantasy;History;Horror;Mystery;Romance;Science Fiction;TV Movie;Thriller;War;Western;Music
157;961;The General;750000;5.595;1926;0;8.1;389;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
158;238;The Godfather;6000000;24.788;1972;245066411;8.6;8905;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
159;962;The Gold Rush;923000;6.116;1925;2500000;7.9;521;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
160;37247;The Graduate;3000000;8.316;1967;104945305;7.6;1331;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
161;596;The Grapes of Wrath;750000;6.172;1940;0;7.9;334;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
162;914;The Great Dictator;2000000;7.382;1940;11000000;8.3;1253;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
163;5925;The Great Escape;4000000;7.851;1963;11744471;7.9;1082;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0
164;497;The Green Mile;60000000;14.979;1999;284600000;8.4;7053;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0
165;49051;The Hobbit: An Unexpected Journey;250000000;21.788;2012;1021103568;7.2;11100;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
166;990;The Hustler;2000000;7.387;1961;7600000;7.8;371;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
167;10098;The Kid;250000;8.441;1921;2500000;8.2;702;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
168;247;The Killing;320000;6.315;1956;0;7.7;489;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0
169;45269;The King's Speech;15000000;11.933;2010;414211549;7.7;4389;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
170;8587;The Lion King;45000000;26.112;1994;987483777;8.2;8913;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
171;121;The Lord of the Rings: The Two Towers;79000000;23.44;2002;926287400;8.2;11169;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
172;963;The Maltese Falcon;375000;10.695;1941;1772000;7.8;660;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
173;11697;The Man Who Shot Liberty Valance;3200000;8.316;1962;8000000;7.7;411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
174;982;The Manchurian Candidate;2200000;5.682;1962;7700000;7.8;261;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
175;603;The Matrix;63000000;32.178;1999;463517383;8.1;12864;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
176;3112;The Night of the Hunter;795000;7.067;1955;0;8.0;557;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0
177;423;The Pianist;35000000;16.426;2002;120072577;8.3;3314;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
178;1124;The Prestige;40000000;16.074;2006;109676311;8.1;7133;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0
179;2493;The Princess Bride;16000000;12.236;1987;30857814;7.7;2096;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0
180;278;The Shawshank Redemption;25000000;29.193;1994;28341469;8.6;11638;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
181;694;The Shining;19000000;14.726;1980;44017374;8.2;7127;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
182;274;The Silence of the Lambs;19000000;3.226;1991;272742922;8.2;7355;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0
183;745;The Sixth Sense;40000000;12.975;1999;672806292;7.8;5261;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0
184;9277;The Sting;5500000;8.625;1973;159616327;8.0;984;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
185;218;The Terminator;6400000;20.33;1984;78371200;7.5;6069;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
186;1091;The Thing;15000000;14.306;1982;19629760;7.9;2656;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0
